Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,"Enumera varias actividades o razones que ocurren a la vez, implicando estar ocupado o abrumado. 'Tanto [X] como [Y], y además [Z]...'"
Chapter 5,再……再……也……,"Enfatiza que por muy extremas que sean las condiciones o el esfuerzo, el resultado no cambiará. 'Por muy [X] o [Y] que sea, aun así...'"
Chapter 5,……得不能再……了,Estructura superlativa: algo ha alcanzado su límite absoluto. 'Tan [X] que no puede ser más [X]'.
Chapter 5,可……可……,Indica flexibilidad u opciones: una acción puede hacerse de una u otra forma según la preferencia o la doble capacidad. 'Puede ser [X] o puede ser [Y]'.
Chapter 5,取决于……,Indica que un resultado depende por completo de una condición o factor. 'Depende de... / está determinado por...'
Chapter 5,……是……了点儿，不过……,"Admite primero un defecto menor o un aspecto negativo, pero luego presenta un contrapunto positivo importante. '[X] es un poco [adjetivo], pero...'"
Chapter 7,……都……了，哪能跟……比呀,"Pregunta retórica que enfatiza un contraste enorme entre dos cosas, implicando que la comparación es imposible. '[X] ya está en ese nivel, ¿cómo podría compararse con [Y]?'"
Chapter 7,……了事,"Resolver o terminar un asunto de forma descuidada, superficial o perezosa solo para quitárselo de encima. 'Arreglarlo por las buenas / salir del paso'."
Chapter 7,……则……，……不……则……,"Estructura condicional formal o escrita. 'Si [condición], entonces [resultado A]; si no, entonces [resultado B]'."
Chapter 7,不失为,"Forma formal de decir que algo sigue siendo una buena opción, método o alternativa, aunque no sea perfecto. 'Todavía puede considerarse / no está mal como...'"
Chapter 7,为了……起见，……,"Expresa el motivo o la razón cautelosa detrás de una acción preventiva. 'Por seguridad / por precaución, [acción]...'"
Chapter 7,……是……，……是……,"Enfatiza que dos elementos, aspectos o conceptos son completamente distintos y no deben mezclarse. '[X] es [X] y [Y] es [Y] (son cosas separadas)'."
Chapter 8,……而已,"Al final de la oración minimiza la importancia, escala, precio o valor de algo. 'Solo eso / no es más que / simplemente'."
Chapter 8,……的可怜,"Modifica verbos o adjetivos para mostrar que una cantidad, frecuencia o estado es lamentablemente pequeño, bajo o pobre. 'Lamentablemente [poco/pocos/pobre]'."
Chapter 8,……透了,"Se une a verbos o adjetivos para indicar un grado extremo, normalmente con connotación muy negativa o de agotamiento total. 'Completamente / hasta los huesos'."
Chapter 8,可想而知,"Idioma que indica que el resultado, la dificultad o la realidad de una situación se puede deducir o imaginar fácilmente a partir de hechos existentes. 'Se puede imaginar / es de suponer que...'"
Chapter 8,想也/都别想,"Rechazo fuerte, coloquial y directo de una idea o petición poco realista. '¡Ni se te ocurra! / ni hablar'."
Chapter 8,难以……,Va seguido de un verbo disilábico para expresar que una acción es difícil o imposible de realizar o lograr. 'Difícil de... / difícilmente se puede...'
Chapter 9,时不时地……,Indica que una acción ocurre con frecuencia pero a intervalos irregulares. 'De vez en cuando / de cuando en cuando'.
Chapter 9,……得够呛 （……真够呛）,"Expresión coloquial: una situación, sensación o estado es insoportable, terrible, agotador o muy difícil de soportar. 'Hasta no poder más / fatal'."
Chapter 9,……，不仅如此……,"Frase de transición que introduce detalles adicionales de nivel superior que intensifican lo anterior. '..., y no solo eso, sino también... / además'."
Chapter 9,不……则已，一……就得（要）……,"Enfatiza que si no se hace una acción, no pasa nada; pero en cuanto se hace, desencadena de inmediato una consecuencia extrema o inevitable. 'Si no [hace X], no pasa nada; pero en cuanto [hace X], hay que [consecuencia extrema]'."
Chapter 9,……得慌,"Coloca con ciertos adjetivos o verbos psicológicos para expresar una sensación física o mental incómoda, inquietante o insoportable. 'Terriblemente [ansioso/aburrido/ahogado/pánico]'."
Chapter 9,（饱/忍/大）受（尽）……之苦,"Experimentar, soportar o sufrir plenamente un tipo concreto de dolor, dificultad, angustia emocional o enfermedad. 'Sufrir profundamente / padecer...'"
