Chapter,Pattern Template,explanation
Chapter 5,又是……又是……，还……,"एक ही समय में कई काम या कारण गिनने के लिए; व्यस्त या दबाव में होने का भाव। 'एक तरफ [X], दूसरी तरफ [Y], और ऊपर से [Z] भी...'"
Chapter 5,再……再……也……,"चाहे हालात कितने भी कठिन हों या मेहनत कितनी भी हो, परिणाम नहीं बदलेगा। 'चाहे [X] हो या [Y], फिर भी...'"
Chapter 5,……得不能再……了,किसी चीज़ की सीमा पूरी तरह पार हो जाने का ढाँचा। 'इतना [X] कि और [X] हो ही न सके।'
Chapter 5,可……可……,विकल्प या लचीलापन दिखाता है; पसंद के अनुसार काम इस तरह या उस तरह हो सकता है। '[X] हो सकता है या [Y] हो सकता है।'
Chapter 5,取决于……,परिणाम पूरी तरह किसी शर्त या कारक पर निर्भर है। '...पर निर्भर करता है।'
Chapter 5,……是……了点儿，不过……,"पहले छोटी कमी मानता है, फिर बड़ा सकारात्मक पक्ष रखता है। '[X] थोड़ा ज़्यादा है, लेकिन...'"
Chapter 7,……都……了，哪能跟……比呀,"दो चीज़ों के बीच बड़ा अंतर दिखाने के लिए प्रश्न; तुलना असंभव। '[X] तो इतना आगे है, [Y] से कैसे तुलना हो?'"
Chapter 7,……了事,"किसी काम को ढिलाई से निपटाना, बस खत्म करने के लिए। 'जल्दी से निपटा देना।'"
Chapter 7,……则……，……不……则……,"औपचारिक शर्त वाला ढाँचा। 'अगर [शर्त], तो [परिणाम A]; नहीं तो [परिणाम B]।'"
Chapter 7,不失为,औपचारिक: कुछ पूर्ण न होते हुए भी अच्छा विकल्प माना जा सकता है। '...अच्छा विकल्प हो सकता है।'
Chapter 7,为了……起见，……,"सावधानी के कारण बताता है। '[सुरक्षा/सुविधा] के लिए, [क्रिया]...'"
Chapter 7,……是……，……是……,"दो बातें अलग हैं, मिलाना नहीं चाहिए। '[X], [X] है; [Y], [Y] है।'"
Chapter 8,……而已,वाक्य के अंत में; महत्व या मात्रा घटाना। 'बस इतना ही / केवल।'
Chapter 8,……的可怜,मात्रा या स्थिति दयनीय रूप से कम होने पर। 'दयनीय रूप से [कम/थोड़ा]।'
Chapter 8,……透了,"अत्यधिक डिग्री, अक्सर नकारात्मक या पूर्ण। 'पूरी तरह / एकदम।'"
Chapter 8,可想而知,परिणाम या कठिनाई आसानी से समझी जा सकती है। 'सोचा जा सकता है कि...'
Chapter 8,想也/都别想,अवास्तविक विचार को कड़ाई से खारिज करना। 'सोचना भी मत! / बात ही नहीं!'
Chapter 8,难以……,द्वि-अक्षर क्रिया के साथ: करना मुश्किल। '...करना मुश्किल।'
Chapter 9,时不时地……,"बीच-बीच में, अनियमित रूप से होने वाली क्रिया। 'कभी-कभी।'"
Chapter 9,……得够呛 （……真够呛）,बोलचाल: हालत बर्दाश्त से बाहर या बहुत खराब। 'बहुत मुश्किल / बुरी हालत।'
Chapter 9,……，不仅如此……,"पिछली बात से आगे बढ़कर और जानकारी जोड़ना। '..., और साथ ही..., इसके अलावा...'"
Chapter 9,不……则已，一……就得（要）……,न करें तो कुछ नहीं; करें तो तुरंत चरम परिणाम। 'शुरू किया तो पूरा जोर लगा देते हैं।'
Chapter 9,……得慌,असहनीय शारीरिक या मानसिक अनुभूति। 'बहुत [बेचैनी/घुटन/घबराहट]।'
Chapter 9,（饱/忍/大）受（尽）……之苦,किसी विशेष दुःख या कष्ट को गहराई से झेलना। '...का भारी कष्ट झेलना।'
